Code ,Name ,Time Zone ,Region 
AEC ,PowerSouth Energy Cooperative ,Central ,Southeast 
AECI ,"Associated Electric Cooperative, Inc. ",Central ,Midwest 
AESO ,Alberta Electric System Operator ,,Canadian Authorities 
AVA ,Avista Corporation ,Pacific ,Northwest 
AZPS ,Arizona Public Service Company ,Arizona ,Southwest 
BANC ,Balancing Authority of Northern California ,Pacific ,California 
BCHA ,B.C. Hydro & Power Authority ,,Canadian Authorities 
BPAT ,Bonneville Power Administration ,Pacific ,Northwest 
CEN ,Centro Nacional de Control de Energia ,,Mexican Authorities 
CFE ,Comision Federal de Electricidad ,,Mexican Authorities 
CHPD ,Public Utility District No. 1 of Chelan County ,Pacific ,Northwest 
CISO ,California Independent System Operator ,Pacific ,California 
CPLE ,Duke Energy Progress East ,Eastern ,Carolinas 
CPLW ,Duke Energy Progress West ,Eastern ,Carolinas 
DEAA ,"Arlington Valley, LLC - AVBA ",Arizona ,Southwest 
DOPD ,PUD No. 1 of Douglas County ,Pacific ,Northwest 
DUK ,Duke Energy Carolinas ,Eastern ,Carolinas 
EEI ,"Electric Energy, Inc. ",Central ,Midwest 
EPE ,El Paso Electric Company ,Arizona ,Southwest 
ERCO ,"Electric Reliability Council of Texas, Inc. ",Central ,"Electric Reliability Council of Texas, Inc. "
FMPP ,Florida Municipal Power Pool ,Eastern ,Florida 
FPC ,"Duke Energy Florida, Inc. ",Eastern ,Florida 
FPL ,Florida Power & Light Co. ,Eastern ,Florida 
GCPD ,"Public Utility District No. 2 of Grant County, Washington ",Pacific ,Northwest 
GRID ,"Gridforce Energy Management, LLC ",Pacific ,Northwest 
GRIF ,"Griffith Energy, LLC ",Arizona ,Southwest 
GRMA ,"Gila River Power, LLC ",Arizona ,Southwest 
GVL ,Gainesville Regional Utilities ,Eastern ,Florida 
GWA ,"NaturEner Power Watch, LLC (GWA) ",Mountain ,Northwest 
HGMA ,"New Harquahala Generating Company, LLC - HGBA ",Arizona ,Southwest 
HQT ,Hydro-Quebec TransEnergie ,,Canadian Authorities 
HST ,"Homestead, City of ",Eastern ,Florida 
IESO ,Ontario IESO ,,Canadian Authorities 
IID ,Imperial Irrigation District ,Pacific ,California 
IPCO ,Idaho Power Company ,Pacific ,Northwest 
ISNE ,New England ISO ,Eastern ,New England ISO 
JEA ,JEA ,Eastern ,Florida 
LDWP ,Los Angeles Department of Water and Power ,Pacific ,California 
LGEE ,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company ,Eastern Standard ,Midwest 
MHEB ,Manitoba Hydro ,,Canadian Authorities 
MISO ,"Midcontinent Independent System Operator, Inc. ",Eastern Standard ,Midwest 
NBSO ,New Brunswick System Operator ,,Canadian Authorities 
NEVP ,Nevada Power Company ,Pacific ,Northwest 
NSB ,"New Smyrna Beach, Utilities Commission of ",Eastern ,Florida 
NWMT ,NorthWestern Corporation ,Mountain ,Northwest 
NYIS ,New York Independent System Operator ,Eastern ,New York Independent System Operator 
OVEC ,Ohio Valley Electric Corporation ,Eastern ,Mid-Atlantic 
PACE ,PacifiCorp East ,Mountain ,Northwest 
PACW ,PacifiCorp West ,Pacific ,Northwest 
PGE ,Portland General Electric Company ,Pacific ,Northwest 
PJM ,"PJM Interconnection, LLC ",Eastern ,Mid-Atlantic 
PNM ,Public Service Company of New Mexico ,Arizona ,Southwest 
PSCO ,Public Service Company of Colorado ,Mountain ,Northwest 
PSEI ,"Puget Sound Energy, Inc. ",Pacific ,Northwest 
SC ,South Carolina Public Service Authority ,Eastern ,Carolinas 
SCEG ,South Carolina Electric & Gas Company ,Eastern ,Carolinas 
SCL ,Seattle City Light ,Pacific ,Northwest 
SEC ,Seminole Electric Cooperative ,Eastern ,Florida 
SEPA ,Southeastern Power Administration ,Central ,Southeast 
SOCO ,"Southern Company Services, Inc. - Trans ",Central ,Southeast 
SPA ,Southwestern Power Administration ,Central ,Central 
SPC ,Saskatchewan Power Corporation ,,Canadian Authorities 
SRP ,Salt River Project Agricultural Improvement and Power District ,Arizona ,Southwest 
SWPP ,Southwest Power Pool ,Central ,Central 
TAL ,"Tallahassee, City of ",Eastern ,Florida 
TEC ,Tampa Electric Company ,Eastern ,Florida 
TEPC ,Tucson Electric Power ,Arizona ,Southwest 
TIDC ,Turlock Irrigation District ,Pacific ,California 
TPWR ,"City of Tacoma, Department of Public Utilities, Light Division ",Pacific ,Northwest 
TVA ,Tennessee Valley Authority ,Central ,Tennessee Valley Authority 
WACM ,Western Area Power Administration - Rocky Mountain Region ,Arizona ,Northwest 
WALC,Western Area Power Administration - Desert Southwest Region ,Arizona ,Southwest 
WAUW ,Western Area Power Administration - Upper Great Plains West ,Mountain ,Northwest 
WWA ,"NaturEner Wind Watch, LLC ",Mountain ,Northwest 
YAD ,"Alcoa Power Generating, Inc. - Yadkin Division ",Eastern ,Carolinas 
